id,name,city,neighborhood,description,link,date,cuisine,address,latitude,longitude
1,Clara,NYC,Upper West Side,"Named for Clara Driscoll, the woman behind Tiffany’s famous glass lamps, this elegant restaurant is housed right inside the New York Historical Society Museum. And it comes from the all-star team behind your favorite Brooklyn wine bars (June, Rhodora, and Anaïs), with chef Diego Moya serving a menu inspired, fittingly, by New York classics — lobster Newburg and Waldorf salad included.",https://resy.com/cities/ny/clara,2023-11-01,American,"170 Central Park W, 2 West 77th Street, New York, NY 10024",40.7792489,-73.97430375753298
2,Agency of Record,NYC,Lower Midtown,"It’s a cocktail bar underneath the Renwick Hotel, the famed haunt of many of New York’s greatest writers and artists. Expect DJs spinning vinyl, wood-fired snacks, and reimagined cocktails of old.",https://resy.com/cities/ny/agency-of-record,2023-11-01,American,"118 East 40th St, 118 East 40th Street, New York, NY 10016",40.7501799,-73.9776212
3,Siren Oyster Bar & Restaurant,NYC,South Slope,"It’s fitting that it’s named after the deep-sea temptresses, as there’s not much we can do to escape the call of Siren’s snow crab legs, caviar, crab cakes, and lobster bisque. Add on their hibiscus margarita and we’re more than ready to jump ship.",https://resy.com/cities/ny/siren-oyster-bar,2023-11-01,Seafood,"687 5th Ave, Brooklyn, NY 11215",40.66139665,-73.9930053525473
4,The Bonnefont,NYC,Fort George,"The location alone makes this spot worth a trip; it’s housed right in the center of Fort Tryon Park, minutes away from the Met Cloisters. Once you consider the pears wrapped in applewood smoked bacon, pan-seared scallops, and duck confit, you start to wonder why you aren’t already eating here, right this second.",https://resy.com/cities/ny/the-bonnefont,2023-11-01,Californian,"1 Margaret Corbin Dr, New York, NY 10040",40.860768199999995,-73.93275325772532
5,Le Champ,LA,Arts District,"The latest Arts District is Le Champ. On the surface, you’ll see a mellow neighborhood wine bar and garden, but dive in a little deeper and you’ll find ambitious but accessible French fare from a Maude vet in the kitchen.",https://resy.com/cities/la/le-champ,2023-11-01,French,"1200 E 5th St, Los Angeles, CA 90013",34.04158,-118.2360817
6,Flipper’s Los Angeles,LA,West Hollywood,"West Hollywood finally has the souffle pancakes of its dreams. The towering, poufs of breakfast bliss are a specialty of this Japanese import, which comes west after much success in New York. If you think the pancakes are something, wait until you see the lemon ricotta French toast.",https://resy.com/cities/la/flippers-pancake,2023-11-01,Fusion,"1010 North Fairfax Ave, West Hollywood, CA 90046",34.08903781632653,-118.36125859183674
7,Budonoki,LA,Hollywood,"The izakaya pop-up everyone followed around finally landed its own permanent spot in Virgil Village. That means no more searching for chef Dan Rabilwongse’s pressed sushi specialties, plus other dishes with ties to Thai and French cuisine. Shochu swizzles and soft serve, too.",https://resy.com/cities/la/budonoki,2023-11-01,Japanese,"654 North Virgil Ave, Los Angeles, CA 90004",34.082762448979594,-118.2867236122449
8,baroo,LA,Arts District,"From strip mall gem to marketplace stall, Baroo has had many lives. But its latest reincarnation may just be its most exciting: a sleek Arts District tasting menu spot, where husband-and-wife duo Kwang Uh and Mina Park reimagine fermentation-driven Korean cuisine over the course of five dishes for $110.",https://resy.com/cities/la/baroo,2023-11-01,Korean,"905 East 2nd St, Unit 109, Los Angeles, CA 90012",34.0472847,-118.2349684
9,Si! Mon,LA,Venice,"With influences as far reaching as China, Spain, French, and Africa, Panamanian cuisine is as diverse as Los Angeles itself. That’s why Si! Mon, chef José Olmedo Carles Rojas’ first U.S restaurant, fits right in the Venice neighborhood. Dishes sound familiar — ceviches, tostadas, fish cooked in banana leaf — but there are notable and delicious differences, which will be explained at every turn. Sit back in the earth-toned, sleek space for a spin through the Central American country, plate by plate.",https://resy.com/cities/la/si-mon,2023-11-01,Modern Latin,"60 N Venice Blvd, Los Angeles, CA 90291",33.9847462,-118.4703727
10,Denae’s Diner,LA,Downtown L.A.,The all-day menu at this central Downtown diner has something for literally everyone. Hangover-relieving chilaquiles and French toast; brisket sandwiches and Cobb salads for the worker crowd; and familiar smash burgers and chicken pot pie for visitors looking for comfort food. Shakes and banana pudding for everyone!,https://resy.com/cities/la/denaes-diner,2023-11-01,American,"550 Flower St, 550 S. Flower St., Los Angeles, CA 90071",34.1765511,-118.13934919979351
11,Argot,CHI,Lincoln Park,"Because a French bistro with a Midwest touch is always something we can get behind. Enter Argot, an elegant space with an impressive wine list that tangos between America and France, and where the steak frites (or frisée lardon, studded with Nueske’s bacon) is never a bad idea.",https://resy.com/cities/chi/argot,2023-11-01,French,"2349 N Lincoln Ave, Chicago, IL 60614",41.924843,-87.6472809
12,Guinness Open Gate Brewery,CHI,West Loop,"Here’s something to celebrate: the second U.S. outpost opened by Ireland’s most iconic beer brand, offering traditional food like fish and chips and Guinness-infused brown bread and beef stew, along with only-in-America brews like Rice Lager and Mango Chile Ale — plus, of course, the classic brewed-in-Dublin offerings.",https://resy.com/cities/chi/guinness-open-gate-brewery,2023-11-01,International,"901 W Kinzie St, Chicago, IL 60607",41.88909858875023,-87.65009596498425
13,Maypole,CHI,Wheaton,"This affectionate tribute in Wheaton to the Filipino-American food experience, from the team behind Glen Ellyn’s Common Good Cocktail House, features fish sauce in the Caesar dressing, kimchi in the mac & cheese, and calamansi-soy sauce with the fried chicken, and everything works like a charm.",https://resy.com/cities/whtn/maypole,2023-11-01,Filipino,"121 W Front St, Wheaton, IL 60187",41.86494216542495,-88.10705231834696
14,Rao’s Miami Beach,MIA,South Beach,"For decades, Rao’s has been one of New York’s top Italian restaurants, not to mention one of New York’s most exclusive tables. Now, the legendary red sauce joint has opened up a Miami outpost, set adjacent to Loews Miami Beach Hotel in the historic St. Moritz Tower. Set that Notify now.",https://resy.com/cities/mia/raos-miami-beach,2023-11-01,Italian,"1601 Collins Ave, Miami, FL 33139",25.7892163,-80.1287786
15,QP Tapas,MIA,Coconut Grove,"QP Tapas is back, this time in Coconut Grove at the Allocation Room. For dinner service, the space flips into Josh Elliott’s tapas concept, a whirlwind of tastes from the Basque region and Tokyo combined. Cool ranch shishitos, lamb belly with date teriyaki, creamy cheesecake with mango: It’s all fantastic.",https://resy.com/cities/crlg/qp-tapas,2023-11-01,Tapas,"3540 Main Hwy, Coconut Grove, FL 33133",25.7177971,-80.2530864
16,Fi’lia SLS Brickell,MIA,Brickell,"This very pretty restaurant at the SLS makes a perfect date night spot (thanks, great lighting!) for cocktails and carbonara, or simply an early dinner with friends. Think wood-fired pizzas with stracciatella and soppressata, Aperol spritzes, and salads to share.",https://resy.com/cities/mia/filia-sls-brickell,2023-11-01,Italian,"1300 S Miami Ave Suite 100, Miami, FL 33130",25.761289,-80.1936874
17,Roystone,MIA,Miami,"Set in the attic of the old Post Office building, this cocktail bar isn’t just a spot for drinks. It’s a place to experience a rotated menu of elevated sips and unique concoctions served in pretty glasses. There are guest bartenders, DJs spinning vinyl some nights, disco nights and live jazz on others.",https://resy.com/cities/mia/roystone,2023-11-01,Cocktail Bar,"100 NE 1st Ave 4th Fl, Miami, FL 33132",25.77539575,-80.1922030549581
18,Perro Negro,MIA,Miami,"Yes, we usually focus on restaurants and cocktail bars around here, but this one is notable: The iconic Medellín reggaeton club has opened up an outpost in Miami — and yes, they take reservations.",https://resy.com/cities/mia/perro-negro,2023-11-01,Cocktail Bar,"2328 North Miami Ave, 2328 N Miami Av., Miami, FL 33127",25.7998339,-80.1952785
